area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,euler_number,extent,filled_area,label,major_axis_length,minor_axis_length,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,orientation,perimeter,feret_diameter_max,solidity
7365,76,35,153,179,11088,114.1896809232858,100.25471826205023,7930,0.8397382674117155,96.83702415385591,1,0.6642316017316018,7365,IMG_20221126_170921.jpg,133.67734166677764,72.58564465597925,7365.0,480601.0,39583701.0,3715984681.0,281267.0,18213676.0,1488166060.0,138214312666.0,13170131.0,838451610.0,66437481662.0,5964351439416.0,688973225.0,43213089184.0,3313127253316.0,286245360253078.0,7365.0,8.037659426918253e-11,8222218.148540392,59884366.93152443,2.404476617812179e-11,-140322.84141208412,-5209395.988597673,-885584598.4181145,2428634.0157501693,-10243808.79974129,1498582000.0061772,-10129383481.806583,512608.1102503545,41921137.06901746,324478490.0088358,-61640318744.54536,-1.5465948590628986,375.26197667087547,145.82523787054146,0.9287515762925599
13747,73,0,165,224,20608,115.74350767440168,105.79573725176402,14892,0.9221474420450039,132.29975064781596,1,0.6670710403726708,13747,IMG_20220110_154300.jpg,216.64261392326705,83.8057234206651,13747.0,1454374.0,194108162.0,29414296630.0,587595.0,60474656.0,7829791004.0,1156247984552.0,31233821.0,3132025948.0,386975074884.0,54478328262196.0,1882824723.0,185046364634.0,21836631890834.0,2916764542670210.0,13747.0,3.0451019483734854e-10,40241592.430202946,363702645.94849956,-2.021351974690333e-10,-1690390.2304502807,-109400546.76367304,-9539609681.446644,6117949.608059946,-27872756.308658987,9687699318.519419,-9089549363.367512,24776403.338185634,-1309260307.3180375,-28844181768.03863,-4862420593106.52,-1.5214202454029537,562.8183258569795,226.0,0.9231130808487779
8042,96,30,177,177,11907,137.27157423526486,98.13044018900771,8522,0.8285443653353137,101.1898829861967,1,0.6754010246073738,8042,IMG_20221126_165824.jpg,137.05874858747447,76.74240305500236,8042.0,547905.0,46769115.0,4529690235.0,331906.0,22719543.0,1945195537.0,188237826201.0,16660196.0,1132826253.0,95049294879.0,8981012806611.0,930445546.0,62790811431.0,5139895879549.0,471441173741481.0,8042.0,7.364064913417678e-11,9440106.168241734,56972665.45312449,-4.547473508864641e-11,106641.11862720754,429522.6512210969,-282417735.8008819,2961912.881870183,-11042727.803054435,1906780339.701632,-13760939256.89899,-1632584.7530475955,221459933.42515376,948227664.6014065,163226545249.67398,1.5543407181982214,386.6761902332486,148.35430563350698,0.943675193616522
6710,82,68,156,205,10138,118.78539493293592,140.87406855439642,7180,0.8271791367582303,92.43071645926446,1,0.6618662458078517,6710,IMG_20221129_165628.jpg,125.14380637826243,70.32310033993673,6710.0,488985.0,42192287.0,3992421705.0,246830.0,18197770.0,1578305470.0,150136823722.0,11163550.0,835745866.0,72250612098.0,6819036042478.0,564511550.0,42746875864.0,3671665712128.0,342448348283440.0,6710.0,2.6560087462712545e-10,6557960.587928466,-38112449.228226386,7.368328169832239e-11,210263.6587183309,-4400006.978653607,886056397.1303475,2083810.9687034274,6743294.537572118,1177398502.5640304,4469028561.607112,548335.4977445417,10893763.305377651,794926079.3708264,116147282800.20932,1.5239387634047896,355.01933598375615,138.45215780189199,0.9345403899721448
6844,77,48,153,184,10336,114.91233196960842,119.59088252483927,7331,0.8082155759754636,93.34908378858066,1,0.6621517027863777,6844,IMG_20221129_170801.jpg,123.25883875159923,72.58549470329999,6844.0,489968.0,41569916.0,3876968906.0,259472.0,18735584.0,1595433070.0,149481601796.0,12096876.0,882894546.0,74700122552.0,6927756376254.0,630085478.0,46313848328.0,3880290791614.0,354662109106724.0,6844.0,-8.968470410763985e-11,6492674.471069551,-28690657.584162943,-7.057110451569315e-11,159754.52951490352,-3453320.851361316,782000613.0167413,2259687.399181765,4755183.8532171035,1214925037.2025054,2730583015.1538415,124661.642170971,-24234516.682804924,1243620465.913848,81513897869.38211,1.5331273787128885,355.01933598375615,137.18600511714013,0.9335697722002455
6854,47,28,123,166,10488,85.03807995331194,103.06259118762766,7328,0.8361967350709606,93.41725664787425,1,0.6535087719298246,6854,IMG_20221122_175014.jpg,128.42235050711255,70.43061762895158,6854.0,514479.0,45679115.0,4434068919.0,260713.0,19708556.0,1760496852.0,171915380492.0,12045865.0,925215754.0,82582801978.0,8017256171662.0,619473979.0,48320302124.0,4296938981376.0,413116454263268.0,6854.0,1.1146994438604452e-10,7060988.14838051,-54755949.58277061,6.019718057359569e-11,138762.66370002946,2119253.238626438,429152539.3851989,2128843.061132185,10465383.410935014,1178013925.238445,11700025267.233358,-681802.1116006764,24405582.09555318,960728868.4587626,85207692038.2161,1.5426916197502965,365.50461735799473,139.30183056945089,0.9353165938864629
6701,54,72,128,201,9546,90.02522011640053,137.4893299507536,7052,0.8306347225917566,92.36870784670707,1,0.7019694112717368,6701,IMG_20221126_165340.jpg,124.7233724827383,69.44818214032124,6701.0,438844.0,35039774.0,3102039292.0,241405.0,16768388.0,1387579726.0,126204336482.0,10931461.0,789957128.0,66264784250.0,6062587647266.0,555760531.0,41160675770.0,3468158363452.0,316779771396944.0,6701.0,-7.796074896759819e-11,6300174.487091478,-17880440.35074562,1.6186163520615082e-11,958936.3032383227,-336037.1079893814,2180500096.418789,2234792.7378003304,4971288.923668927,1528421623.349395,3442754063.4992976,934441.6935716002,493445622.9248932,2127087646.395643,869370230940.0697,1.3503967878142544,346.22034611053283,133.15029102484155,0.9502268859897901
7136,89,30,167,166,10608,128.31670403587444,93.58828475336323,7491,0.8005091125542136,95.31965899661057,1,0.6726998491704375,7136,IMG_20221126_164605.jpg,124.35957681855469,74.53125402971307,7136.0,453766.0,35640072.0,3153347386.0,280564.0,18534164.0,1494233074.0,134515167572.0,13619996.0,916371382.0,73737016056.0,6579784273558.0,736236466.0,50023907714.0,3984347606704.0,349605946272878.0,7136.0,1.0408029993413948e-10,6785870.380605381,24052622.910935797,1.3446310731524136e-10,693580.4764573984,4775725.686051605,1211485600.0819361,2589144.248878924,-4239398.623540817,1402940105.4086325,-5067108543.369043,-2850121.9805118437,491514417.4009056,-612571796.0103841,561504972218.776,1.4111817758841523,350.6761902332486,136.2974687952788,0.9526097984247764
4948,96,3,139,157,6622,117.38500404203718,81.13096200485045,5249,0.9677927766263515,79.37247172256629,0,0.7472062820900031,4948,IMG_20220212_100425.jpg,159.0199989382583,40.03299385607563,4948.0,386592.0,38024810.0,4206856980.0,105813.0,8238763.0,810345079.0,89837742769.0,2758539.0,213688155.0,20747780023.0,2274235609137.0,80144511.0,6173274517.0,589689050809.0,63663542584627.0,4948.0,8.375877769140061e-11,7820005.136620851,13972946.234223805,-3.171152229697327e-11,-28508.48261924009,1639153.796983497,11968841.070568055,495727.5672999187,-619842.7658085537,549474683.2953855,1870708452.6098757,-49128.72603328716,-9614845.889502062,301093994.650593,190816651.77944016,-1.566904078516335,373.9594154601839,154.3243337908834,0.9426557439512288
5352,73,58,135,187,7998,103.71580717488789,128.47907324364724,5883,0.8827263231784632,82.54924617113467,1,0.6691672918229558,5352,IMG_20221126_164729.jpg,122.90251947681591,57.75035444425529,5352.0,377204.0,31632470.0,2900234492.0,164391.0,11728434.0,989061568.0,91204064004.0,6170145.0,449972558.0,38036762256.0,3497119257452.0,258502119.0,19216114176.0,1624178443150.0,148412498880126.0,5352.0,3.728928277269006e-11,5047481.656203289,-40676336.69450866,-2.6403768060845323e-11,142308.67040358682,-2614847.394586987,553227173.6206341,1120742.7427130053,6364205.2622136995,656957483.3002751,4458351583.832612,132098.98324606745,7891331.874463227,160421060.14489838,60235178035.81479,1.5346186627684912,332.492424049175,130.54118124178285,0.9097399286078531
