area,bbox-0,bbox-1,bbox-2,bbox-3,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,euler_number,extent,filled_area,label,major_axis_length,minor_axis_length,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,orientation,perimeter,feret_diameter_max,solidity
14308,72,0,166,224,21056,115.71561364271736,106.00531171372658,15407,0.9190315822759546,134.9722616172327,1,0.6795212765957447,14308,IMG_20220110_154300.jpg,218.6468641527278,86.18707467733559,14308.0,1516724.0,203442110.0,30985955912.0,625483.0,64507966.0,8396918454.0,1246893555232.0,34075661.0,3424106494.0,425509397574.0,60284985365956.0,2105249407.0,207310941154.0,24612560684070.0,3311421236879908.0,14308.0,-7.320011263800552e-11,42661309.59630977,375360782.0065241,5.695710569852963e-11,-1796554.386636846,-115789609.88700235,-10289256072.866882,6732287.831912211,-31019617.247585345,11070469061.572111,-10925824845.718401,26998788.52090462,-1488611598.7484436,-34675343488.49329,-5726236506297.09,-1.5209591539479579,567.4041122946064,226.41775548750587,0.9286687869150386
7279,46,27,124,167,10920,85.0392911114164,102.7149333699684,7745,0.8347224790206846,96.26998829400183,1,0.6665750915750915,7279,IMG_20221122_175014.jpg,131.97377663192907,72.67411151329911,7279.0,551129.0,49648507.0,4897147343.0,284167.0,21661811.0,1962973267.0,194765590583.0,13500313.0,1045807563.0,94664510815.0,9334284540183.0,714100129.0,56192774447.0,5065834005151.0,494490504587375.0,7279.0,-1.4779288903810084e-12,7919811.486742687,-61282054.46627537,-3.497291345411213e-11,146125.52905618853,2602979.587523468,480072688.28153944,2406634.762742135,12222989.596013157,1418391237.9781122,13834544465.696747,-849150.5053288188,25085251.502386186,1091044037.5307038,102515842985.56534,1.5443163325710731,373.747258045114,141.56623891309678,0.9398321497740477
5383,95,2,140,159,7065,117.39123165521085,80.98513839866246,5668,0.9652192637496246,82.7879729750003,1,0.7619249823071479,5383,IMG_20220212_100425.jpg,162.6650425508153,42.52742848660496,5383.0,425177.0,42484703.0,4775556479.0,120532.0,9496280.0,949251054.0,106940958296.0,3307404.0,259656926.0,25638253460.0,2857008216734.0,101258830.0,7917478958.0,769829160432.0,84558876246086.0,5383.0,-5.820766091346741e-11,8902038.811071897,13638797.673373755,1.6839862837514374e-11,-23956.701467583123,1750674.0861536916,43907764.09716966,608544.0661341251,-505996.5757790291,712329596.4458656,3049513113.904256,-50121.45579731267,-10440767.037946638,402087788.8711846,6494773879.078298,-1.5679077453608237,367.9238815542512,157.15597347857954,0.9497177134791813
8400,97,28,179,177,12218,138.0145238095238,100.16642857142857,8776,0.8332115508988466,103.41765891652821,1,0.687510230807006,8400,IMG_20221029_094716.jpg,140.47851619080404,77.67820638883809,8400.0,606198.0,54094188.0,5427392532.0,344522.0,24552541.0,2164873609.0,214163527249.0,17311624.0,1219439191.0,104766990543.0,10051151910871.0,973270760.0,68180148085.0,5716291777105.0,531450433613497.0,8400.0,1.6433432392659597e-10,10347043.332857147,30189850.356349144,1.4512124835164286e-10,-310381.3042857145,-8975532.231573367,-1645805296.8174987,3181218.2280952353,-4418603.062113593,2251221249.876828,-554459278.8468862,2290443.7514696256,52716066.277031615,-1145405606.2951326,-382699378204.31665,-1.5275900855430253,389.1614716074871,150.08331019803634,0.9571558796718322
23540,44,0,193,224,33376,119.71312659303314,109.64817332200509,24479,0.7489108195474973,173.12440291035153,1,0.7052972195589645,23540,IMG_20220110_151951.jpg,213.85885055303547,141.71801480724434,23540.0,2581118.0,350281706.0,53265719702.0,1782287.0,194520207.0,26341101631.0,3995913563319.0,164512781.0,17881234097.0,2379072991881.0,353430043414097.0,16915059827.0,1834252083927.0,239216549412739.0,3.466852658510291e+16,23540.0,-3.6075675780011807e-10,67266832.17145288,106599945.46898809,5.724132279283367e-10,-904306.8855564983,18489677.645948134,-10466003058.347809,29570259.74388275,-20356024.362885725,47269670878.63967,-108099919142.89124,-18430825.779869307,-277916259.35683405,86644362406.20528,-2670436925246.2256,-1.5468256072549107,631.9554108468271,229.08513701242165,0.961640589893378
9042,87,6,157,200,13580,123.35169210351692,100.11977438619775,9723,0.940546277296166,107.29693361646147,1,0.6658321060382916,9042,IMG_20220110_150506.jpg,186.80166109428686,63.450092918267494,9042.0,851031.0,99818519.0,13239848835.0,328692.0,31006903.0,3659991735.0,489182516563.0,14223940.0,1333744415.0,155088928299.0,20441162143919.0,679957674.0,63174796531.0,7181377269123.0,925244901774727.0,9042.0,2.8191493584017735e-10,19719673.284339745,132929946.17243075,-3.6280312087910715e-11,70486.11745189138,18151391.139084257,893183133.2385895,2275429.619110815,-10134187.961180514,2650566651.889424,-4582601809.322155,-2538047.2131768013,3087611.277320088,4523251266.89228,73716021318.06398,1.5667557627875788,467.84776310850236,194.31160541768986,0.9299598889231718
6143,95,61,168,188,9271,131.4468500732541,120.10662542731565,6504,0.8115850851487573,88.43930417697838,1,0.6626038183583216,6143,IMG_20221122_171815.jpg,117.18377794891599,68.46277568856941,6143.0,363092.0,26728534.0,2228637560.0,223893.0,13363289.0,991338729.0,83032652699.0,9964621.0,592866247.0,43222347547.0,3546659179381.0,493408221.0,29170466873.0,2076758130597.0,165691412952479.0,6143.0,4.3087311496492475e-11,5267391.160345108,26128680.053385705,-1.9412027540965937e-11,129729.3132020187,1832133.779375782,121295619.54373026,1804426.3965489161,-5565323.628923817,819422450.9770666,-5011503676.3306055,-1302143.310280579,98300815.03456734,271850080.32557493,83627214714.62724,1.5334042689299838,333.01933598375615,127.39309243440164,0.9444956949569495
8139,70,11,149,159,11692,110.2030962034648,82.51885981078756,8473,0.8488739750628275,101.7983136137308,1,0.6961170030790284,8139,IMG_20220110_151057.jpg,141.00145550822637,74.5327044446579,8139.0,582092.0,51727186.0,5170346258.0,327213.0,23751349.0,2136233119.0,215236763971.0,15997593.0,1167393055.0,103998468389.0,10337458658137.0,868982433.0,63583678051.0,5579551298497.0,543633913015981.0,8139.0,3.646505319920834e-11,10096629.855019044,26677983.734428156,-1.8488321984477807e-11,349448.324732769,6655792.412127726,582562597.7470493,2842617.2819756716,-4834365.31177865,1989835024.6039152,-4758736636.017687,-2734369.516674185,323686216.7158812,1143514210.5812376,314627111374.18066,1.5227714520733755,381.1198410471445,148.48568954616468,0.9605806680042488
7894,43,30,126,173,11869,85.01114770711933,105.69888522928807,8372,0.8142535468422305,100.2544411292556,1,0.6650939422023759,7894,IMG_20221122_174056.jpg,133.4247398648655,77.45431545041708,7894.0,597567.0,53901121.0,5340965199.0,331636.0,25922168.0,2385456234.0,240161299268.0,17009426.0,1366850992.0,126535736862.0,12736204982584.0,974580154.0,79839864194.0,7388737851984.0,739216433738090.0,7894.0,-1.0231815394945443e-12,8665965.250190014,-51297391.05923435,-1.3947953902970767e-11,817692.498099823,-2788543.043328311,2357568161.5601225,3077017.0190017717,10552004.776581503,2006440091.365075,11965830910.54962,1456612.9354770668,405801391.0813672,5148606293.690058,843226536452.47,1.4284644592844848,380.0904037956216,146.53668482670133,0.9429049211657907
6538,88,47,164,174,9652,126.68507188742734,106.26552462526766,6876,0.7901549896628758,91.23836990805181,1,0.6773725652714463,6538,IMG_20221122_175210.jpg,117.82473602232045,72.21561525292782,6538.0,387478.0,28633384.0,2390050696.0,252923.0,15101030.0,1124455866.0,94281440780.0,11918871.0,710444096.0,52097972096.0,4284933951386.0,624022427.0,37080494342.0,2663786051478.0,213506861837732.0,6538.0,-5.53086465515662e-11,5669297.049250534,21090443.682625,-6.416200903913705e-11,111415.71520342652,3565125.95362706,14280131.174554186,2134526.563016213,-4554296.659955999,992024618.24055,-5562058980.892676,-2208581.523783922,125815228.13375844,1062625133.6070163,80838056776.08722,1.539318052041209,337.9482681718907,127.88275880665071,0.9508435136707388
